AE,BT,BW,CF,DT,ET,GL,HF,LF,NT,P,PF,PFC,PFCM,PFCm,SC
3.874,97.120609499,2497.9,5770.9,0.072447,97.193056574,Y,8491.911,4269.2,20.0,G,4995.7,6804.5;6804.5;7579.7;6287.7;6287.7;6287.7;6460.0;5770.9;5684.8;4995.7;4823.4;4737.3,7579.7,4737.3,S
3.795,99.362452578,1292.0,5254.1,0.082797,99.445249235,Y,6867.775,2877.0,19.0,G,5512.5,4048.2;5684.8;5426.4;5426.4;5512.5;5512.5;5081.8;5512.5;5081.8;5081.8;5426.4;6373.8;5254.1,6373.8,4048.2,S
2.325,99.674664972,602.9,5512.5,0.060373,99.735037534,Y,5939.697,4501.2,22.0,G,5684.8,5168.0;5512.5;5512.5;5512.5;5512.5;5081.8;5512.5;5684.8;5340.2,5684.8,5081.8,S
2.085,99.824733912,602.9,5770.9,0.065547,99.890281266,Y,6171.716,4686.8,22.0,G,5770.9,5770.9;5770.9;5857.0;5943.2;5770.9;5512.5;5770.9;5770.9;5426.4;5254.1,5943.2,5254.1,S
3.644,100.000676808,2584.0,5426.4,0.093146,100.093823047,Y,7331.813,3155.5,19.0,G,5684.8,4909.6;5254.1;5598.6;5512.5;5684.8;5684.8;5598.6;5684.8;5770.9;5254.1;5512.5;6632.2;6718.4;4823.4;4048.2,6718.4,4048.2,S
3.243,100.171444913,2067.2,5168.0,0.065547,100.236992266,Y,7099.794,3805.1,20.0,G,4823.4,5598.6;6546.1;6890.6;6201.6;5684.8;5254.1;4995.7;4823.4;4392.8;4048.2,6890.6,4048.2,S
2.958,100.311164271,1981.1,5254.1,0.060373,100.371536834,Y,7378.217,3805.1,20.0,G,5168.0,6460.0;6373.8;6373.8;5770.9;5598.6;5168.0;4823.4;4565.0;4392.8,6460.0,4392.8,S
3.586,100.399135719,2670.1,5598.6,0.086247,100.485382237,Y,7795.852,3387.5,20.0,G,4909.6,6029.3;6804.5;7149.0;7149.0;6632.2;4565.0;4392.8;6201.6;5598.6;5254.1;4909.6;4737.3;4220.5;4909.6,7149.0,4220.5,S
3.44,100.511256192,2411.7,5943.2,0.079347,100.590602988,Y,7981.468,4037.1,20.0,G,5598.6,6546.1;7062.9;7062.9;7407.4;6201.6;6201.6;6546.1;5770.9;5598.6;5254.1;4909.6;4651.2;4909.6,7407.4,4651.2,S
3.403,100.618201874,2411.7,5770.9,0.077622,100.695823739,Y,8120.679,4129.9,20.0,G,5684.8,6718.4;6718.4;7665.8;7235.2;6632.2;6632.2;6201.6;5770.9;5684.8;5254.1;4823.4;4478.9,7665.8,4478.9,S
3.382,100.72837087,2584.0,5684.8,0.077622,100.805992735,Y,8074.276,4129.9,20.0,G,5598.6,7235.2;7235.2;7665.8;6287.7;6287.7;7235.2;5770.9;5598.6;5598.6;4995.7;4737.3;4737.3,7665.8,4737.3,S
3.709,102.936916017,2153.3,5426.4,0.093146,103.030062256,Y,7146.198,3480.3,19.0,G,6373.8,4134.4;5254.1;4995.7;5426.4;5426.4;5340.2;5340.2;4823.4;5340.2;5254.1;5426.4;6460.0;6373.8;4823.4;3703.7,6460.0,3703.7,S
2.275,103.212904874,861.3,5254.1,0.068997,103.281902088,Y,5707.678,4547.6,22.0,G,5081.8,4823.4;5081.8;5426.4;5426.4;5426.4;5254.1;5254.1;5598.6;5684.8;5081.8,5684.8,4823.4,S
2.058,103.356074093,516.8,5770.9,0.067272,103.423346376,Y,6125.312,4733.2,22.0,G,5943.2,5598.6;5857.0;5857.0;5943.2;5943.2;5857.0;5770.9;5770.9;5857.0;5598.6;5426.4,5943.2,5426.4,S
3.688,103.528567128,2153.3,5426.4,0.093146,103.621713367,Y,6914.178,2830.6,19.0,G,5426.4,5857.0;5857.0;5512.5;5426.4;5426.4;5340.2;5340.2;5340.2;5340.2;5426.4;6373.8;6632.2;5426.4;4220.5;4737.3,6632.2,4220.5,S
3.191,103.695885372,2153.3,5254.1,0.062097,103.757982864,Y,7285.41,3944.3,20.0,G,4909.6,6546.1;7062.9;6460.0;5684.8;5254.1;4909.6;4478.9;4220.5;4048.2,7062.9,4048.2,S
2.853,103.806280914,2067.2,5340.2,0.067272,103.873553198,Y,6774.967,4176.3,20.0,G,4565.0,6287.7;6287.7;6373.8;6546.1;6029.3;5512.5;5081.8;4737.3;4565.0;4392.8,6546.1,4392.8,S
3.407,103.908051805,2153.3,5770.9,0.075897,103.98394874,Y,7795.852,4083.5,20.0,G,5512.5,6460.0;6460.0;6976.8;6718.4;6115.4;6201.6;6201.6;5770.9;5512.5;5168.0;4909.6;4565.0,6976.8,4565.0,S
3.525,104.013272556,2756.2,5598.6,0.084522,104.097794144,Y,8352.699,4408.4,20.0,G,4737.3,6804.5;7407.4;7407.4;7493.6;6373.8;6373.8;6373.8;5770.9;5426.4;5598.6;4995.7;4737.3;4565.0;4909.6,7493.6,4565.0,S
3.618,104.118493308,2584.0,5512.5,0.087971,104.206464756,Y,8538.314,4176.3,20.0,G,5770.9,6890.6;6890.6;7407.4;7062.9;6804.5;6632.2;6632.2;5857.0;5770.9;5340.2;4909.6;4737.3;4651.2;4737.3,7407.4,4651.2,S
3.561,104.234063641,2153.3,5857.0,0.089696,104.32376002,Y,8723.93,4547.6,20.0,G,5684.8,5684.8;6029.3;6460.0;6460.0;7235.2;6546.1;6460.0;6460.0;6373.8;5857.0;5684.8;5340.2;4909.6;4737.3;5340.2,7235.2,4737.3,S
3.577,104.344459184,2670.1,6029.3,0.089696,104.434155562,Y,8213.487,4408.4,20.0,G,5684.8,6201.6;6890.6;6890.6;7924.2;7493.6;6804.5;6890.6;6460.0;6460.0;5684.8;5340.2;4909.6;4823.4;5340.2;4995.7,7924.2,4823.4,S
3.764,107.194976155,1722.7,5340.2,0.087971,107.282947603,Y,7285.41,2969.8,19.0,G,5168.0,5684.8;5340.2;4995.7;5168.0;5598.6;5512.5;5081.8;5340.2;5168.0;5598.6;6804.5;5684.8;4134.4;5081.8,6804.5,4134.4,S
2.533,107.419217101,947.5,5426.4,0.072447,107.491664176,Y,5893.293,4547.6,22.0,G,5081.8,4995.7;5254.1;5598.6;5770.9;5857.0;5684.8;5168.0;4823.4;5512.5;5340.2;5081.8;5081.8,5857.0,4823.4,S
2.539,107.600334788,861.3,5684.8,0.065547,107.665882141,Y,6171.716,4501.2,22.0,G,5943.2,5254.1;5598.6;5598.6;5943.2;5943.2;5684.8;5598.6;5943.2;5770.9;5168.0;4823.4,5943.2,4823.4,S
3.853,107.788352196,2239.5,5340.2,0.086247,107.874598713,Y,6682.159,2691.4,19.0,G,6287.7,5340.2;5340.2;5340.2;5340.2;5254.1;5168.0;4909.6;5168.0;5254.1;6029.3;6287.7;4909.6;4220.5;5943.2,6287.7,4220.5,S
3.064,107.95567044,2411.7,4995.7,0.060373,108.016043002,Y,7239.006,3851.5,20.0,G,4995.7,6890.6;7062.9;6373.8;5254.1;4995.7;4995.7;4478.9;4220.5;4048.2,7062.9,4048.2,S
2.789,108.060891191,1981.1,5426.4,0.067272,108.128163475,Y,7053.39,4129.9,20.0,G,6373.8,6373.8;6373.8;6373.8;6287.7;6287.7;5340.2;4995.7;4737.3;4565.0;4392.8,6373.8,4392.8,S
3.289,108.166111943,2497.9,6201.6,0.072447,108.238559017,Y,7842.256,4269.2,20.0,G,6976.8,6976.8;6976.8;7321.3;6287.7;6287.7;6460.0;5770.9;5598.6;5168.0;4823.4;4909.6,7321.3,4823.4,S
3.371,108.266157903,2497.9,6201.6,0.079347,108.345504699,Y,7795.852,4269.2,20.0,G,5857.0,6373.8;7149.0;7149.0;7493.6;6373.8;6373.8;7321.3;6373.8;5857.0;5598.6;4995.7;4823.4;4909.6,7493.6,4823.4,S
3.27,108.374828515,2670.1,5943.2,0.079347,108.454175311,Y,7703.044,4129.9,20.0,G,7407.4,6976.8;7407.4;7407.4;7493.6;6718.4;6804.5;6373.8;5684.8;5684.8;5254.1;4823.4;4909.6,7493.6,4823.4,S
3.572,108.486948988,2497.9,6029.3,0.074172,108.561120993,Y,8167.083,4222.8,20.0,G,5857.0,6373.8;6976.8;6976.8;6890.6;6804.5;6804.5;7149.0;6287.7;5857.0;5340.2;4995.7;4823.4,7149.0,4823.4,S
3.429,108.616318764,2153.3,5943.2,0.075897,108.6922157,Y,8120.679,4640.4,20.0,G,5857.0,6890.6;6890.6;7235.2;6804.5;6718.4;6804.5;6976.8;5943.2;5857.0;5684.8;5254.1;4823.4,7235.2,4823.4,S
